"id_player","ranked","player_name","player_position","age","team","games_played","games_started","minutes_played"
"jacksis01","244","Isaiah Jackson","C","22","Indiana Pacers","59","3","771"
"jacksja02","245","Jaren Jackson Jr.","C","24","Memphis Grizzlies","66","66","2124"
"jacksju01","246","Justin Jackson","SF","28","Minnesota Timberwolves","2","0","1"
"jacksqu01","247","Quenton Jackson","PG","25","Indiana Pacers","3","0","11"
"jacksre01","248","Reggie Jackson","PG","33","Denver Nuggets","82","23","1817"
"jackstr02","249","Trayce Jackson-Davis","PF","23","Golden State Warriors","68","16","1130"
"jamesle01","250","LeBron James","PF","39","Los Angeles Lakers","71","71","2504"
"jaqueja01","251","Jaime Jaquez Jr.","SF","22","Miami Heat","75","20","2113"
"jarrede01","252","DeJon Jarreau","SG","26","Memphis Grizzlies","9","0","150"
"jeffrda01","253","DaQuan Jeffries","SG","26","New York Knicks","17","0","46"
"jemistr01","254","Trey Jemison","C","24","Washington Wizards","2","0","1"
"jemistr01","254","Trey Jemison","C","24","Memphis Grizzlies","23","14","572"
"jeromty01","255","Ty Jerome","SG","26","Cleveland Cavaliers","2","0","15"
"joeis01","256","Isaiah Joe","SG","24","Oklahoma City Thunder","78","1","1445"
"johnsca02","257","Cameron Johnson","PF","27","Brooklyn Nets","58","47","1599"
"johnsja05","258","Jalen Johnson","SF","22","Atlanta Hawks","56","52","1889"
"johnsja01","259","James Johnson","PF","36","Indiana Pacers","9","0","47"
"johnske04","260","Keldon Johnson","SF","24","San Antonio Spurs","69","27","2038"
"johnske07","261","Keon Johnson","SG","21","Brooklyn Nets","5","0","61"
"johnske08","262","Keyontae Johnson","SF","23","Oklahoma City Thunder","9","0","66"
"jokicni01","263","Nikola Jokic","C","28","Denver Nuggets","79","79","2737"
"jonesco02","264","Colby Jones","SG","21","Sacramento Kings","30","0","192"
"jonesda03","265","Damian Jones","C","28","Cleveland Cavaliers","39","0","270"
"jonesde02","266","Derrick Jones Jr.","SF","26","Dallas Mavericks","76","66","1783"
"joneshe01","267","Herbert Jones","SF","25","New Orleans Pelicans","76","76","2321"
"jonesma05","268","Mason Jones","SG","25","Sacramento Kings","5","0","28"
"jonestr01","269","Tre Jones","PG","24","San Antonio Spurs","77","48","2138"
"jonesty01","270","Tyus Jones","PG","27","Washington Wizards","66","66","1933"
"jordade01","271","DeAndre Jordan","C","35","Denver Nuggets","36","2","396"
"josepco01","272","Cory Joseph","PG","32","Golden State Warriors","26","0","296"
"jovicni01","273","Nikola Jovic","PF","20","Miami Heat","46","38","896"
"juzanjo01","274","Johnny Juzang","SG","22","Utah Jazz","20","5","372"
"kennalu01","275","Luke Kennard","SG","27","Memphis Grizzlies","39","22","999"
"kesslwa01","276","Walker Kessler","C","22","Utah Jazz","64","22","1493"
"keybr01","277","Braxton Key","SF","26","Denver Nuggets","20","0","60"
"kispeco01","278","Corey Kispert","SF","24","Washington Wizards","80","22","2067"
"klebima01","279","Maxi Kleber","C","32","Dallas Mavericks","43","7","871"
